学号 入学成绩
170401011001 467
170401011002 518
170401011003 509
170401011004 508
170401011005 494
170401011006 500
170401011007 490
170401011008 466
170401011009 534
170401011010 507
170401011011 479
170401011012 461
170401011013 500
170401011014 491
170401011015 452
170401011016 425
170401011017 472
170401011018 383
170401011019 352
170401011020 387
170401011021 485
170401011022 501
170401011023 492
170401011024 414
170401011025 519
170401011026 467
170401011027 463
170401011028 431
170401011029 261
170401011030 513
170402011031 364
170402011032 451
170402011033 418
170402011034 410
170402011035 408
170402011036 407
170402011037 401
170402011038 355
170402011039 399
170402011040 348
170402011041 358
170402011042 356
170402011043 312
170402011044 307
170402011045 296
170402011046 287
170402011047 268
170402011048 244
170402011049 298
170402011050 238
170402011051 543
170402011052 466
170402011053 344
170402011054 568
170402011055 53
170403011056 222
170403011057 446
170403011058 379
170403011059 323
170403011060 467
170403011061 167
170403011062 222
170403011063 455
170403011064 677
170403011065 344
170403011066 222
170403011067 543
170403011068 222
170403011069 567
170403011070 431
170403011071 244
170403011072 466
170403011073 432
170403011074 274
170403011075 356
170404011076 333
170404011077 228
170404011078 339
170404011079 447
170404011080 336
170404011081 444
170404011082 437
170404011083 498
170404011084 498
170404011085 332
170404011086 333
170404011087 334
170404011088 335
170404011089 336
170404011090 337
170404011091 338
170404011092 339
170404011093 340
170404011094 341
170404011095 431
170404011096 244
170404011097 466
170404011098 432
170404011099 274
170404011100 356
170404011101 333
170404011102 228
170404011103 339
170404011104 447
170404011105 336
170404011106 444
170404011107 437
170404011108 498
170404011109 499
170404011110 500
170404011111 501
170404011112 502
170404011113 503
170404011114 504
170404011115 505
170404011116 506
170404011117 507
170404011118 508
170404011119 509
170404011120 444
170404011121 437
170404011122 498
170404011123 499
170404011124 500
170404011125 501
170404011126 502
170404011127 503
